Date,Log Return
2016/1/5,-0.025378696
2016/1/6,-0.019763795
2016/1/7,-0.043121258
2016/1/8,0.005273894
2016/1/11,0.016062616
2016/1/12,0.014409154
2016/1/13,-0.026046812
2016/1/14,0.021635117
2016/1/15,-0.024308302
2016/1/19,-0.004850474
2016/1/20,0.001343854
2016/1/21,-0.005075084
2016/1/22,0.051801667
2016/1/25,-0.019715751
2016/1/26,0.005515754
2016/1/27,-0.067964554
2016/1/28,0.007145968
2016/1/29,0.03395843
2016/2/1,-0.009392726
2016/2/2,-0.020429179
2016/2/3,0.019599136
2016/2/4,0.008003113
2016/2/5,-0.02707129
2016/2/8,0.010474467
2016/2/9,-0.000210313
2016/2/10,-0.007608785
2016/2/11,-0.006064552
2016/2/12,0.003090107
2016/2/16,0.027804113
2016/2/17,0.015198568
2016/2/18,-0.019138094
2016/2/19,-0.002288213
2016/2/22,0.008708187
2016/2/23,-0.022864354
2016/2/24,0.014780602
2016/2/25,0.006844383
2016/2/26,0.001549101
2016/2/29,-0.002272502
2016/3/1,0.038946148
2016/3/2,0.002185793
2016/3/3,0.007416537
2016/3/4,0.014767461
2016/3/7,-0.011128503
2016/3/8,-0.008280266
2016/3/9,0.000890934
2016/3/10,0.000493839
2016/3/11,0.010716413
2016/3/14,0.002539193
2016/3/15,0.019894891
2016/3/16,0.013203452
2016/3/17,-0.00160555
2016/3/18,0.001133532
2016/3/21,-9.43E-05
2016/3/22,0.007618905
2016/3/23,-0.005543794
2016/3/24,-0.004343675
2016/3/28,-0.004553024
2016/3/29,0.023395919
2016/3/30,0.017308134
2016/3/31,-0.005216136
2016/4/1,0.009133395
2016/4/4,0.010221342
2016/4/5,-0.011859441
2016/4/6,0.010418621
2016/4/7,-0.022051404
2016/4/8,0.001105241
2016/4/11,0.003307491
2016/4/12,0.012940975
2016/4/13,0.014383894
2016/4/14,0.000535062
2016/4/15,-0.020275287
2016/4/18,-0.021811187
2016/4/19,-0.005317428
2016/4/20,0.002055721
2016/4/21,-0.010886987
2016/4/22,-0.002740368
2016/4/25,-0.005693727
2016/4/26,-0.006971385
2016/4/27,-0.064621489
2016/4/28,-0.031043259
2016/4/29,-0.011560922
2016/5/2,-0.001067073
2016/5/3,0.016311985
2016/5/4,-0.010455747
2016/5/5,-0.004067177
2016/5/6,-0.005592586
2016/5/9,0.00075455
2016/5/10,0.006766609
2016/5/11,-0.00978868
2016/5/12,-0.023736539
2016/5/13,0.001990696
2016/5/16,0.036446403
2016/5/17,-0.00416316
2016/5/18,0.011380421
2016/5/19,-0.003814237
2016/5/20,0.010769413
2016/5/23,0.012627621
2016/5/24,0.015129228
2016/5/25,0.017416167
2016/5/26,0.007898984
2016/5/27,-0.000597735
2016/5/31,-0.004895049
2016/6/1,-0.014118735
2016/6/2,-0.007544041
2016/6/3,0.002044425
2016/6/6,0.007224694
2016/6/7,0.004047152
2016/6/8,-0.000908777
2016/6/9,0.007150142
2016/6/10,-0.008262768
2016/6/13,-0.015191152
2016/6/14,0.00123179
2016/6/15,-0.003288495
2016/6/16,0.004211748
2016/6/17,-0.023020417
2016/6/20,-0.002415569
2016/6/21,0.008481417
2016/6/22,-0.003760708
2016/6/23,0.005739578
2016/6/24,-0.028498019
2016/6/27,-0.014668242
2016/6/28,0.01670077
2016/6/29,0.008617051
2016/6/30,0.012631799
2016/7/1,0.003029045
2016/7/5,-0.009430094
2016/7/6,0.005668773
2016/7/7,0.004282405
2016/7/8,0.007683817
2016/7/11,0.003098078
2016/7/12,0.004526892
2016/7/13,-0.005662017
2016/7/14,0.019626814
2016/7/15,-0.000101189
2016/7/18,0.010573407
2016/7/19,0.000400689
2016/7/20,0.000900817
2016/7/21,-0.005316327
2016/7/22,-0.007774074
2016/7/25,-0.013469738
2016/7/26,-0.006906835
2016/7/27,0.062940092
2016/7/28,0.013411711
2016/7/29,-0.001246996
2016/8/1,0.0175027
2016/8/2,-0.014914901
2016/8/3,0.01246019
2016/8/4,0.006158369
2016/8/5,0.015092925
2016/8/8,0.008246585
2016/8/9,0.004052169
2016/8/10,-0.007472237
2016/8/11,-0.000648281
2016/8/12,0.002313559
2016/8/15,0.01194552
2016/8/16,-0.000913901
