Date,Close/Last,Volume,Open,High,Low
12/12/2024,$300.30,1668441,$303.63,$304.45,$300.26
12/11/2024,$302.34,2071545,$303.37,$304.1299,$299.54
12/10/2024,$302.11,2968061,$297.43,$304.98,$296.51
12/09/2024,$296.72,2377947,$304.07,$305.07,$296.16
12/06/2024,$303.99,1797667,$301.64,$304.74,$300.62
12/05/2024,$300.53,2793669,$302.28,$303.425,$300.32
12/04/2024,$302.60,1561228,$302.00,$303.53,$300.71
12/03/2024,$302.11,2128671,$303.84,$304.99,$301.14
12/02/2024,$302.26,2167054,$306.21,$306.85,$299.91
11/29/2024,$304.68,1326646,$307.25,$307.79,$304.67
11/27/2024,$304.25,1697344,$307.00,$307.82,$302.7901
11/26/2024,$305.57,2130705,$305.61,$306.97,$302.00
11/25/2024,$305.21,3478440,$303.05,$305.80,$302.5001
11/22/2024,$301.30,3788898,$293.40,$301.92,$292.51
11/21/2024,$293.00,2410469,$289.82,$294.07,$287.53
11/20/2024,$287.71,2387656,$286.15,$288.33,$285.09
11/19/2024,$285.55,2512936,$281.89,$286.6199,$281.31
11/18/2024,$285.54,2074634,$286.94,$287.52,$283.61
11/15/2024,$286.87,2614568,$288.00,$290.55,$285.49
11/14/2024,$288.30,2979782,$288.34,$290.555,$287.355
11/13/2024,$287.64,2118132,$287.92,$290.61,$287.435
11/12/2024,$288.51,2251660,$292.00,$293.55,$287.58
11/11/2024,$292.97,2299530,$290.49,$294.18,$290.43
11/08/2024,$287.60,1814377,$286.68,$290.1002,$285.945
11/07/2024,$286.82,3877331,$292.32,$293.035,$284.6474
11/06/2024,$295.16,5380812,$288.00,$296.83,$286.81
11/05/2024,$275.94,1859581,$271.72,$276.18,$271.1935
11/04/2024,$270.19,1944015,$272.33,$272.82,$269.71
11/01/2024,$272.69,2508471,$272.30,$274.7453,$270.95
10/31/2024,$270.08,2315384,$273.70,$274.08,$268.64
10/30/2024,$274.08,2152864,$271.00,$275.07,$270.27
10/29/2024,$270.43,1748966,$270.30,$271.80,$269.5801
10/28/2024,$271.47,2336884,$269.24,$271.97,$267.675
10/25/2024,$267.35,2993298,$271.65,$273.17,$266.345
10/24/2024,$269.98,3490640,$270.23,$271.23,$268.71
10/23/2024,$271.23,2051063,$272.00,$273.35,$268.96
10/22/2024,$272.40,2595361,$270.62,$272.83,$268.58
10/21/2024,$270.74,4092739,$275.00,$276.3643,$269.53
