Date,Close/Last,Volume,Open,High,Low
12/12/2024,$4.59,47028890,$4.60,$4.6481,$4.49
12/11/2024,$4.67,55104360,$4.78,$4.80,$4.57
12/10/2024,$4.77,64769710,$4.95,$5.02,$4.75
12/09/2024,$5.18,123185700,$4.94,$5.36,$4.93
12/06/2024,$4.61,44028270,$4.70,$4.71,$4.56
12/05/2024,$4.61,86599500,$4.65,$4.77,$4.60
12/04/2024,$4.60,47932740,$4.67,$4.74,$4.52
12/03/2024,$4.64,79059850,$4.41,$4.8299,$4.40
12/02/2024,$4.40,40711240,$4.49,$4.61,$4.36
11/29/2024,$4.48,29218230,$4.38,$4.53,$4.36
11/27/2024,$4.38,45474480,$4.44,$4.45,$4.28
11/26/2024,$4.31,71245240,$4.60,$4.605,$4.31
11/25/2024,$4.67,54234920,$4.79,$4.86,$4.64
11/22/2024,$4.84,66538410,$4.60,$4.92,$4.59
11/21/2024,$4.70,54962300,$4.58,$4.805,$4.50
11/20/2024,$4.65,92292300,$4.41,$4.84,$4.31
11/19/2024,$4.63,81563510,$4.745,$4.75,$4.48
11/18/2024,$4.67,47955670,$4.605,$4.75,$4.55
11/15/2024,$4.49,46287430,$4.44,$4.51,$4.36
11/14/2024,$4.43,39880860,$4.57,$4.65,$4.43
11/13/2024,$4.61,45111280,$4.66,$4.69,$4.56
11/12/2024,$4.58,86695680,$4.88,$4.88,$4.58
11/11/2024,$5.06,51270560,$5.18,$5.23,$5.00
11/08/2024,$5.09,57885300,$5.16,$5.20,$5.015
11/07/2024,$5.31,56496050,$5.23,$5.35,$5.1301
11/06/2024,$5.00,81290900,$5.00,$5.18,$4.86
11/05/2024,$5.28,32012100,$5.28,$5.38,$5.22
11/04/2024,$5.14,36745790,$5.13,$5.30,$5.12
11/01/2024,$5.10,43951800,$5.14,$5.19,$5.00
10/31/2024,$5.10,50277420,$5.30,$5.31,$5.05
10/30/2024,$5.35,57415090,$5.44,$5.44,$5.30
10/29/2024,$5.60,64407150,$5.90,$5.905,$5.59
10/28/2024,$5.81,109992400,$5.38,$6.03,$5.37
10/25/2024,$5.26,67917090,$5.06,$5.35,$5.01
10/24/2024,$4.98,49328670,$5.15,$5.16,$4.96
10/23/2024,$5.19,36170880,$5.22,$5.29,$5.15
10/22/2024,$5.23,38285850,$5.16,$5.35,$5.15
10/21/2024,$5.14,35255310,$5.09,$5.27,$5.0518
10/18/2024,$5.22,66972490,$5.46,$5.49,$5.18
10/17/2024,$5.15,74651600,$5.36,$5.36,$5.05
10/16/2024,$5.51,46932630,$5.66,$5.69,$5.475
10/15/2024,$5.62,67585750,$5.61,$5.81,$5.55
10/14/2024,$5.79,80930080,$6.06,$6.1799,$5.76
10/11/2024,$6.24,42897920,$6.06,$6.30,$6.03
10/10/2024,$6.22,47902280,$6.23,$6.35,$6.1301
10/09/2024,$6.29,70071070,$6.08,$6.45,$5.9775
10/08/2024,$6.24,82359220,$6.26,$6.40,$6.11
10/07/2024,$6.79,78405040,$6.81,$6.93,$6.56
10/04/2024,$6.77,92195000,$6.72,$6.80,$6.40
10/03/2024,$6.70,99136030,$6.86,$6.99,$6.67
10/02/2024,$7.21,135598100,$7.24,$7.38,$6.8202
10/01/2024,$7.03,146968900,$6.90,$7.08,$6.44
09/30/2024,$6.68,214407000,$7.70,$7.71,$6.66
09/27/2024,$6.52,180982100,$6.01,$6.66,$5.99
09/26/2024,$5.78,139473600,$6.00,$6.20,$5.695
09/25/2024,$5.65,72687380,$5.70,$5.84,$5.565
09/24/2024,$5.94,116346100,$5.76,$5.96,$5.61
09/23/2024,$5.32,66291850,$5.20,$5.555,$5.05
09/20/2024,$5.28,53489080,$5.34,$5.54,$5.21
09/19/2024,$5.40,93014330,$5.25,$5.40,$4.97
09/18/2024,$5.02,65049700,$5.45,$5.48,$5.01
09/17/2024,$5.41,41732920,$5.45,$5.70,$5.40
09/16/2024,$5.40,37580120,$5.54,$5.55,$5.38
09/13/2024,$5.55,64294420,$5.22,$5.57,$5.19
09/12/2024,$5.28,71034930,$5.54,$5.54,$5.10
09/11/2024,$5.60,51390480,$5.51,$5.66,$5.43
09/10/2024,$5.48,58595030,$5.43,$5.50,$5.32
09/09/2024,$5.57,125459100,$4.88,$5.61,$4.76
09/06/2024,$5.02,105245000,$4.94,$5.18,$4.90
09/05/2024,$4.85,110271900,$4.41,$4.85,$4.27
09/04/2024,$4.24,49161860,$4.23,$4.29,$4.18
09/03/2024,$4.15,52928230,$3.98,$4.18,$3.96
08/30/2024,$4.04,65991110,$4.19,$4.205,$4.00
08/29/2024,$3.94,45246780,$3.83,$3.97,$3.76
08/28/2024,$3.70,62882020,$3.96,$4.00,$3.68
08/27/2024,$4.00,24654730,$4.075,$4.10,$3.96
08/26/2024,$4.03,25776180,$4.06,$4.10,$3.98
08/23/2024,$4.08,25913390,$4.03,$4.13,$3.99
08/22/2024,$3.99,25826800,$4.01,$4.05,$3.92
08/21/2024,$3.99,25739180,$3.93,$4.00,$3.83
08/20/2024,$3.85,43921560,$4.12,$4.17,$3.83
08/19/2024,$4.07,23455070,$4.03,$4.105,$4.03
08/16/2024,$3.95,28728690,$3.84,$3.98,$3.83
08/15/2024,$3.83,28523150,$3.79,$3.87,$3.78
08/14/2024,$3.72,37694790,$3.915,$3.925,$3.71
08/13/2024,$3.89,29584600,$3.77,$3.91,$3.7607
08/12/2024,$3.76,20645490,$3.80,$3.83,$3.74
08/09/2024,$3.78,25866110,$3.80,$3.885,$3.75
08/08/2024,$3.82,35671050,$3.73,$3.89,$3.63
08/07/2024,$3.67,33486290,$3.81,$3.91,$3.67
08/06/2024,$3.77,37777500,$3.90,$3.92,$3.76
08/05/2024,$3.89,53237040,$3.74,$3.97,$3.66
08/02/2024,$4.05,39936770,$3.95,$4.25,$3.93
08/01/2024,$4.06,88261530,$4.45,$4.45,$3.99
07/31/2024,$4.44,33546760,$4.50,$4.615,$4.43
07/30/2024,$4.42,41983820,$4.34,$4.44,$4.31
07/29/2024,$4.39,33918320,$4.44,$4.47,$4.30
07/26/2024,$4.43,32103360,$4.31,$4.43,$4.24
07/25/2024,$4.27,40111280,$4.39,$4.44,$4.27
07/24/2024,$4.30,43266710,$4.39,$4.42,$4.26
07/23/2024,$4.48,37498740,$4.58,$4.5983,$4.47
07/22/2024,$4.69,34131520,$4.63,$4.70,$4.58
07/19/2024,$4.46,22403650,$4.51,$4.515,$4.41
07/18/2024,$4.54,36332690,$4.63,$4.71,$4.51
07/17/2024,$4.59,54980520,$4.83,$4.865,$4.55
07/16/2024,$4.90,50004830,$4.62,$4.92,$4.62
07/15/2024,$4.63,58503300,$4.81,$4.81,$4.53
07/12/2024,$4.87,51797740,$4.71,$4.92,$4.70
07/11/2024,$4.68,56422760,$4.79,$4.80,$4.60
07/10/2024,$4.62,43456570,$4.51,$4.77,$4.50
07/09/2024,$4.50,27018320,$4.47,$4.54,$4.42
07/08/2024,$4.46,39272450,$4.54,$4.61,$4.44
07/05/2024,$4.62,61604010,$4.725,$4.75,$4.405
07/03/2024,$4.87,72459850,$4.59,$5.04,$4.59
07/02/2024,$4.53,35412310,$4.45,$4.54,$4.38
07/01/2024,$4.44,55633160,$4.35,$4.51,$4.25
06/28/2024,$4.16,47669530,$4.35,$4.36,$4.14
06/27/2024,$4.39,37306080,$4.57,$4.58,$4.37
06/26/2024,$4.64,53248080,$4.38,$4.68,$4.335
06/25/2024,$4.37,23318420,$4.40,$4.43,$4.32
06/24/2024,$4.44,28749720,$4.30,$4.53,$4.29
06/21/2024,$4.30,22036710,$4.31,$4.3498,$4.2402
06/20/2024,$4.33,28737150,$4.37,$4.45,$4.25
06/18/2024,$4.43,28884900,$4.355,$4.47,$4.32
06/17/2024,$4.43,31751380,$4.32,$4.48,$4.235
06/14/2024,$4.33,23556990,$4.36,$4.38,$4.29
06/13/2024,$4.41,27306330,$4.47,$4.61,$4.40
06/12/2024,$4.45,62311430,$4.47,$4.625,$4.31
06/11/2024,$4.46,66199180,$4.79,$4.80,$4.35
06/10/2024,$4.72,38316350,$4.82,$4.85,$4.67
06/07/2024,$4.83,34658600,$4.82,$4.96,$4.80
06/06/2024,$4.91,84453810,$4.95,$5.00,$4.74
06/05/2024,$5.27,49656080,$5.33,$5.35,$5.15
06/04/2024,$5.21,29404530,$5.31,$5.37,$5.20
06/03/2024,$5.34,53566740,$5.54,$5.63,$5.19
05/31/2024,$5.39,63176620,$5.27,$5.52,$5.26
05/30/2024,$5.40,69440020,$4.95,$5.44,$4.93
05/29/2024,$4.93,37706250,$4.82,$5.00,$4.81
05/28/2024,$4.90,46519660,$4.97,$5.01,$4.83
05/24/2024,$4.83,32325260,$4.81,$4.92,$4.77
05/23/2024,$4.80,79112840,$5.12,$5.13,$4.71
05/22/2024,$5.24,36743180,$5.26,$5.31,$5.14
05/21/2024,$5.25,75042180,$5.19,$5.5399,$5.14
05/20/2024,$5.22,47706060,$5.25,$5.32,$5.10
05/17/2024,$5.28,58708430,$5.28,$5.39,$5.04
05/16/2024,$5.26,41788870,$5.37,$5.46,$5.22
05/15/2024,$5.33,112034600,$6.00,$6.05,$5.21
05/14/2024,$5.79,80661010,$5.51,$5.85,$5.455
05/13/2024,$5.41,76621100,$5.20,$5.66,$5.16
05/10/2024,$5.07,49019550,$5.28,$5.35,$5.0317
05/09/2024,$5.33,34679740,$5.37,$5.41,$5.23
05/08/2024,$5.22,54908670,$5.25,$5.28,$5.11
05/07/2024,$5.51,43754080,$5.54,$5.83,$5.46
05/06/2024,$5.69,75633390,$5.75,$6.04,$5.57
05/03/2024,$5.57,54697740,$5.525,$5.58,$5.33
05/02/2024,$5.59,99532820,$5.61,$5.67,$5.17
05/01/2024,$5.27,148038900,$4.76,$5.44,$4.74
04/30/2024,$4.72,52936250,$4.70,$4.75,$4.51
04/29/2024,$4.60,56379780,$4.67,$4.68,$4.47
04/26/2024,$4.49,59264480,$4.43,$4.54,$4.39
04/25/2024,$4.13,25888390,$4.05,$4.17,$4.03
04/24/2024,$4.15,34562030,$4.15,$4.22,$4.05
04/23/2024,$4.01,41987840,$3.99,$4.13,$3.98
04/22/2024,$4.00,60179620,$3.68,$4.05,$3.61
04/19/2024,$3.80,35883780,$3.86,$3.92,$3.78
04/18/2024,$4.00,38392130,$3.90,$4.09,$3.85
04/17/2024,$3.91,38766960,$3.865,$3.96,$3.84
04/16/2024,$3.81,42222200,$3.75,$3.91,$3.71
04/15/2024,$3.89,70661320,$4.19,$4.19,$3.8201
04/12/2024,$4.11,74932100,$4.35,$4.35,$4.085
04/11/2024,$4.46,39040170,$4.60,$4.61,$4.43
04/10/2024,$4.59,32567960,$4.58,$4.69,$4.54
04/09/2024,$4.71,76665950,$4.43,$4.79,$4.42
04/08/2024,$4.37,47453510,$4.41,$4.53,$4.37
04/05/2024,$4.39,43081000,$4.50,$4.58,$4.38
04/04/2024,$4.50,53856510,$4.55,$4.75,$4.49
04/03/2024,$4.49,33078470,$4.46,$4.51,$4.36
04/02/2024,$4.54,38932680,$4.47,$4.58,$4.38
04/01/2024,$4.64,42632700,$4.63,$4.75,$4.565
03/28/2024,$4.50,55938540,$4.68,$4.74,$4.48
03/27/2024,$4.67,85346540,$4.63,$4.73,$4.45
03/26/2024,$4.78,83744680,$4.90,$4.92,$4.77
03/25/2024,$4.91,56419440,$4.92,$5.09,$4.89
03/22/2024,$4.89,43658300,$4.93,$4.96,$4.80
03/21/2024,$5.00,46800090,$5.06,$5.10,$4.96
03/20/2024,$5.10,59385470,$5.11,$5.14,$5.04
03/19/2024,$5.19,77042860,$5.485,$5.49,$5.13
03/18/2024,$5.54,48581870,$5.83,$5.86,$5.48
03/15/2024,$5.58,33811130,$5.71,$5.76,$5.57
03/14/2024,$5.58,42679880,$5.82,$5.82,$5.54
03/13/2024,$5.92,42657900,$6.08,$6.2699,$5.91
03/12/2024,$6.19,38392940,$6.19,$6.30,$6.09
03/11/2024,$6.10,64025250,$5.92,$6.23,$5.88
03/08/2024,$5.80,39080170,$5.78,$5.915,$5.66
03/07/2024,$5.77,46370270,$5.665,$5.79,$5.47
03/06/2024,$5.77,77698770,$5.39,$5.88,$5.38
03/05/2024,$5.48,94784650,$5.17,$5.62,$4.78
03/04/2024,$5.33,94275780,$5.58,$5.61,$5.25
03/01/2024,$5.78,39578620,$5.73,$5.84,$5.675
02/29/2024,$5.75,63187130,$5.56,$5.79,$5.54
02/28/2024,$5.43,58390490,$5.60,$5.61,$5.39
02/27/2024,$5.78,53722070,$5.81,$5.93,$5.72
