Date,Close/Last,Volume,Open,High,Low
12/12/2024,$314.23,3218540,$314.82,$315.55,$313.43
12/11/2024,$313.79,4321824,$313.04,$315.55,$311.215
12/10/2024,$312.38,4539827,$307.36,$312.98,$306.64
12/09/2024,$308.30,5785297,$311.83,$313.01,$307.64
12/06/2024,$311.01,4302851,$308.87,$312.56,$308.80
12/05/2024,$309.08,5200052,$309.98,$311.09,$308.83
12/04/2024,$309.90,5981759,$312.42,$312.85,$308.80
12/03/2024,$313.01,5009907,$317.10,$317.32,$312.77
12/02/2024,$316.65,5597635,$316.90,$317.42,$313.71
11/29/2024,$315.08,3853281,$314.29,$316.25,$313.70
11/27/2024,$314.70,5204318,$310.77,$316.37,$309.49
11/26/2024,$311.82,7071592,$314.20,$314.50,$311.54
11/25/2024,$313.19,14189300,$311.86,$313.66,$309.86
11/22/2024,$309.92,5919518,$307.97,$311.59,$307.90
11/21/2024,$309.90,5757406,$307.30,$310.92,$306.65
11/20/2024,$307.39,6350282,$311.86,$312.29,$306.22
11/19/2024,$311.85,4885860,$310.00,$312.23,$308.51
11/18/2024,$312.16,4585944,$309.48,$312.41,$308.70
11/15/2024,$309.64,5106284,$307.56,$310.72,$306.66
11/14/2024,$308.25,4415788,$309.30,$311.29,$307.83
11/13/2024,$309.48,4046544,$309.49,$310.9485,$307.84
11/12/2024,$309.85,4616616,$309.04,$310.55,$308.11
11/11/2024,$310.92,4674088,$310.09,$312.44,$309.30
11/08/2024,$307.87,6240616,$306.89,$311.15,$305.69
11/07/2024,$305.80,6237348,$307.50,$307.63,$304.42
11/06/2024,$307.40,10320480,$306.32,$309.00,$302.8201
11/05/2024,$293.29,3753721,$291.71,$294.78,$291.58
11/04/2024,$291.85,4281721,$291.55,$293.15,$290.76
11/01/2024,$290.74,5471088,$288.49,$292.67,$287.19
10/31/2024,$289.85,7950228,$292.09,$296.34,$289.621
10/30/2024,$290.16,9606784,$292.34,$295.78,$288.33
10/29/2024,$281.88,7534759,$284.27,$285.70,$281.35
10/28/2024,$284.19,4306240,$282.04,$284.64,$281.53
10/25/2024,$281.73,4464561,$284.00,$285.09,$280.7801
10/24/2024,$283.22,4680151,$282.39,$283.62,$281.73
10/23/2024,$283.76,5249255,$286.04,$286.055,$283.53
10/22/2024,$284.79,5736450,$285.05,$286.53,$283.53
10/21/2024,$286.85,6313148,$289.60,$290.44,$286.33
10/18/2024,$290.62,5350923,$289.92,$291.04,$288.08
10/17/2024,$290.39,8815841,$288.57,$290.93,$287.61
10/16/2024,$287.52,9442687,$278.62,$287.60,$278.35
10/15/2024,$279.29,5807021,$281.00,$282.64,$278.83
10/14/2024,$280.68,3996620,$279.08,$281.3699,$277.99
10/11/2024,$277.84,4746446,$276.04,$278.80,$275.37
10/10/2024,$277.47,4063891,$276.78,$277.67,$275.35
10/09/2024,$276.93,4115807,$275.00,$277.49,$274.42
10/08/2024,$274.96,4370915,$274.71,$276.10,$274.01
10/07/2024,$273.79,4339337,$277.60,$277.615,$273.24
10/04/2024,$277.93,4260920,$277.35,$278.44,$275.10
10/03/2024,$276.86,3036651,$276.67,$277.69,$275.84
10/02/2024,$277.00,4741561,$276.57,$277.64,$275.37
10/01/2024,$277.60,5781564,$276.97,$279.06,$274.36
09/30/2024,$274.95,5971352,$275.00,$275.69,$273.20
09/27/2024,$275.17,6509578,$273.16,$277.98,$272.78
09/26/2024,$271.69,9552507,$270.50,$273.24,$270.00
09/25/2024,$269.63,11671270,$274.19,$274.25,$268.23
09/24/2024,$272.78,13690160,$280.18,$281.00,$272.71
09/23/2024,$288.63,6505632,$284.90,$288.88,$284.62
09/20/2024,$284.77,27810930,$285.50,$287.00,$283.25
09/19/2024,$285.24,10382070,$291.09,$291.4775,$282.87
09/18/2024,$288.48,5889996,$291.84,$292.02,$288.13
09/17/2024,$291.56,5135913,$290.90,$293.07,$290.085
09/16/2024,$290.48,4458865,$288.05,$290.90,$287.74
09/13/2024,$287.35,4987643,$286.49,$288.74,$285.55
09/12/2024,$285.37,4161170,$284.00,$286.00,$281.47
09/11/2024,$283.96,6281968,$285.02,$285.17,$278.30
09/10/2024,$285.34,5314413,$285.93,$286.3981,$283.57
09/09/2024,$285.61,10933860,$282.09,$286.97,$281.65
09/06/2024,$279.37,7187805,$277.77,$280.28,$277.43
09/05/2024,$278.62,6447539,$281.00,$281.50,$277.41
09/04/2024,$280.49,6107450,$278.71,$281.645,$278.70
09/03/2024,$278.54,7278250,$276.37,$282.09,$276.37
08/30/2024,$276.37,6296089,$275.00,$276.99,$274.26
08/29/2024,$274.32,5565085,$270.98,$275.99,$270.45
08/28/2024,$269.19,5455098,$271.16,$271.98,$267.67
08/27/2024,$270.72,6594067,$268.52,$270.95,$267.89
08/26/2024,$268.21,4612181,$267.72,$270.37,$267.67
08/23/2024,$267.44,3697448,$268.70,$269.21,$265.31
08/22/2024,$267.94,4425444,$268.94,$269.50,$266.57
08/21/2024,$268.20,6639748,$268.56,$269.27,$267.39
08/20/2024,$268.04,6803575,$267.00,$268.04,$265.78
08/19/2024,$266.47,6555945,$267.42,$268.3106,$265.23
08/16/2024,$267.38,5111080,$266.85,$268.44,$265.39
08/15/2024,$266.80,7397780,$262.84,$267.39,$262.84
08/14/2024,$261.14,8552272,$260.87,$261.50,$258.74
08/13/2024,$260.13,12005750,$260.13,$261.68,$259.27
08/12/2024,$259.89,26769520,$260.50,$261.60,$259.24
08/09/2024,$259.76,7228127,$259.17,$261.52,$259.01
08/08/2024,$259.83,8223667,$258.13,$260.445,$257.92
08/07/2024,$256.52,12908580,$259.66,$262.03,$256.31
08/06/2024,$258.26,21586820,$256.50,$260.49,$255.77
08/05/2024,$256.44,9631322,$261.45,$262.92,$254.51
08/02/2024,$266.58,7017857,$263.83,$267.96,$262.88
08/01/2024,$265.93,7269671,$266.33,$267.00,$264.18
07/31/2024,$265.67,7642547,$264.54,$266.36,$264.25
07/30/2024,$263.10,5941775,$263.23,$264.30,$261.01
07/29/2024,$261.60,6068109,$260.32,$262.705,$258.58
